"repository_url","age_days","forks","subscribers","stargazers","pull_requests","issues","comments","commits","contributors","followers"
https://api.github.com/repos/albertofem/rsync-lib,728,9,3,10,5,2,0,23,4,9
https://api.github.com/repos/aldeed/meteor-autoform,413,59,28,251,52,292,0,102,22,60
https://api.github.com/repos/alecksphillips/wallpaperfm,419,1,1,1,5,2,0,51,2,0
https://api.github.com/repos/alex-seville/blanket,696,118,34,770,232,210,18,620,39,48
https://api.github.com/repos/alex/django-filter,2047,188,39,902,74,88,5,272,33,1328
https://api.github.com/repos/alex/django-taggit,1735,302,61,1096,96,165,18,390,42,1328
https://api.github.com/repos/alex/rply,763,22,14,115,18,17,5,109,10,1328
https://api.github.com/repos/alexandrage/Fix-Sashok,410,6,3,2,0,0,0,2,1,3
https://api.github.com/repos/alexeypetrushin/synchronize,886,11,6,103,7,14,0,61,3,59
https://api.github.com/repos/alexfernandez/demo-deployment,355,10,1,0,11,0,0,28,1,32
https://api.github.com/repos/AlexGalays/abyssa-js,461,3,2,29,7,20,18,132,3,8
https://api.github.com/repos/AleXndrTheGr8st/SimpleOres-2,382,6,6,5,9,7,0,29,1,1
https://api.github.com/repos/alexo/wro4j,1916,125,46,408,97,107,101,3230,36,28
https://api.github.com/repos/alfredxing/brick,276,86,64,2525,15,78,1,202,8,41
https://api.github.com/repos/algernon/libmongo-client,1334,11,5,40,11,23,0,891,6,50
https://api.github.com/repos/AlgorithmX2/AppliedEnergistics-2-Localization,217,27,6,5,64,1,12,212,13,42
https://api.github.com/repos/ali6ka08/rating,195,4,1,0,41,0,0,93,5,0
https://api.github.com/repos/aliibrahim/foundation-datetimepicker-rails,459,7,1,7,2,8,1,11,3,1
https://api.github.com/repos/aliostad/CacheCow,789,39,39,217,19,62,4,210,9,41
https://api.github.com/repos/alkivi-sas/alkivi-api,409,2,2,0,2,0,0,78,3,6
https://api.github.com/repos/alonho/pql,589,7,17,170,4,14,0,48,4,28
https://api.github.com/repos/alp1ne/alp1ne.github.io,228,0,2,0,1,1,0,66,2,0
https://api.github.com/repos/alvarezp/dirdup,181,1,4,1,1,0,0,40,2,16
https://api.github.com/repos/alxmsl/AppStoreClient,569,1,2,10,2,0,0,19,2,4
https://api.github.com/repos/amashi/testsimplejava,167,1,2,0,2,2,0,13,2,0
https://api.github.com/repos/amsul/pickadate.js,661,456,195,4368,95,423,4,593,45,108
https://api.github.com/repos/AmyLeikert/ApprenticeScavenger,168,3,1,0,9,3,0,26,5,0
https://api.github.com/repos/Anahkiasen/flickering,579,10,5,15,8,8,0,110,5,177
https://api.github.com/repos/anall/bugzilla-extract,169,1,2,0,6,7,0,23,2,6
https://api.github.com/repos/andelf/go-curl,1066,21,11,111,8,17,0,95,4,161
https://api.github.com/repos/andersoxie/memory_analyzer,171,1,1,0,2,1,0,1,1,2
https://api.github.com/repos/andikleen/mcelog,1081,6,6,10,5,9,3,23,13,23
https://api.github.com/repos/andreachagas/zoo,167,0,2,0,1,0,1,13,2,0
https://api.github.com/repos/andreasgal/dashboard,183,23,4,0,27,0,2,132,14,306
https://api.github.com/repos/andrewdavey/postal,1391,69,25,234,12,74,3,136,9,105
https://api.github.com/repos/andrewebdev/django-adzone,1910,32,5,76,17,22,0,39,5,12
https://api.github.com/repos/AndrewKeig/grunt-mongoimport,194,5,3,6,4,1,0,12,4,21
https://api.github.com/repos/AndrewNeo/faextender-chrome,724,0,1,3,1,3,0,13,2,14
https://api.github.com/repos/andrewray/iocamljs,200,2,6,18,3,0,1,59,2,10
https://api.github.com/repos/andrewray/iocamlserver,193,2,5,9,5,6,0,71,3,10
https://api.github.com/repos/andrewrk/naught,740,27,23,423,9,47,0,154,10,284
https://api.github.com/repos/AndrewSB/MistarApp,178,0,3,0,1,3,0,86,3,7
https://api.github.com/repos/andris9/pem,807,14,5,34,12,9,0,43,6,233
https://api.github.com/repos/Androguide/Pimp_my_Z1,194,8,3,7,18,2,0,138,3,150
https://api.github.com/repos/androidmoney/anMoney-Localizable-Data,546,21,5,4,128,0,0,327,9,6
https://api.github.com/repos/andsens/bootstrap-vz,226,39,8,58,79,68,43,590,14,18
https://api.github.com/repos/andy128k/cl-gobject-introspection,1274,4,7,12,43,6,0,129,4,22
https://api.github.com/repos/andycasey/ads,396,5,9,18,5,7,0,135,3,19
https://api.github.com/repos/andyearnshaw/Intl.js,489,21,19,253,23,51,2,253,6,1
https://api.github.com/repos/andymccurdy/redis-py,1767,605,202,2717,192,339,47,631,91,135
https://api.github.com/repos/andyshinn/puppet-atomic,468,2,1,0,4,0,0,37,5,12
https://api.github.com/repos/andywer/laravel-js-localization,327,5,2,14,4,4,2,83,3,1
https://api.github.com/repos/angelleye/paypal-php-library,671,31,18,75,4,23,0,52,2,11
https://api.github.com/repos/AngryLawyer/rust-sdl2,387,54,13,102,127,54,2,387,34,12
https://api.github.com/repos/angstwad/docker.ubuntu,223,15,4,23,10,4,0,30,8,13
https://api.github.com/repos/ankane/chartkick,489,215,83,2416,21,103,6,144,6,249
https://api.github.com/repos/anlarke/MovieExplorer,227,8,11,14,18,8,1,114,4,2
https://api.github.com/repos/anlek/mongify,1645,26,15,152,12,36,0,384,8,11
https://api.github.com/repos/anlutro/laravel-4-smart-errors,402,7,2,41,10,7,0,131,7,72
https://api.github.com/repos/ant0ine/go-json-rest,566,72,60,829,27,62,0,320,8,58
https://api.github.com/repos/antibodyMX/communicado,265,9,4,16,160,5,0,1249,6,1
https://api.github.com/repos/antirez/redis,1997,3064,1009,10268,729,1268,334,4486,131,2570
https://api.github.com/repos/antirez/redis-doc,1453,344,48,411,366,57,26,1164,140,2570
https://api.github.com/repos/antonraharja/playSMS,1431,135,31,177,134,141,7,2123,18,49
https://api.github.com/repos/anvie/blueprints-scala,617,15,9,49,8,16,0,20,3,41
https://api.github.com/repos/aosabook/500lines,308,354,176,2112,76,7,0,724,24,97
https://api.github.com/repos/apawlik/2014-06-03-cern,168,2,2,0,3,0,0,1328,67,9
https://api.github.com/repos/aphyr/jepsen,512,77,50,574,31,12,13,208,12,973
https://api.github.com/repos/aphyr/riemann-tools,932,61,12,80,73,15,4,182,31,973
https://api.github.com/repos/apiguy/flask-classy,678,39,21,259,32,33,1,110,11,16
https://api.github.com/repos/ApmeM/android-flowlayout,1094,127,24,320,12,13,0,53,7,10
https://api.github.com/repos/Apollius/temp1,194,1,1,0,1,0,0,10,2,0
https://api.github.com/repos/aponxi/grunt-readme-generator,461,15,2,19,2,16,0,125,3,10
https://api.github.com/repos/apotonick/apotomo,2277,52,26,574,75,76,10,541,16,391
https://api.github.com/repos/Appsbender/Sitemap,296,1,1,0,1,0,0,6,1,2
https://api.github.com/repos/apsoto/monit,1111,88,9,57,43,16,4,68,15,4
https://api.github.com/repos/aquynh/capstone,285,80,67,342,112,62,8,1412,18,27
https://api.github.com/repos/Aranor28/Bagh-Chal,167,1,1,0,12,0,0,62,2,1
https://api.github.com/repos/Araq/Nimrod,1484,115,61,763,501,1027,14,3862,57,74
https://api.github.com/repos/aras-p/glsl-optimizer,1502,121,61,452,39,31,2,23821,317,211
https://api.github.com/repos/areski/python-nvd3,518,63,20,241,48,28,1,544,24,72
https://api.github.com/repos/argerim/select2-rails,854,166,3,474,48,52,0,149,27,25
